Tratamentos,REP,N
FIT,R1,18
FIT,R1,25
FIT,R1,22
FIT,R1,11
FIT,R1,12
FIT,R1,7
FIT,R2,21
FIT,R2,47
FIT,R2,26
FIT,R2,34
FIT,R2,26
FIT,R2,18
FIT,R3,44
FIT,R3,28
FIT,R3,30
FIT,R3,16
FIT,R3,22
FIT,R3,18
FIT,R4,13
FIT,R4,15
FIT,R4,12
FIT,R4,16
FIT,R4,13
FIT,R4,8
FIT,R5,14
FIT,R5,22
FIT,R5,13
FIT,R5,11
FIT,R5,35
FIT,R5,24
PRED,R1,19
PRED,R1,12
PRED,R1,16
PRED,R1,21
PRED,R1,20
PRED,R1,7
PRED,R2,6
PRED,R2,13
PRED,R2,9
PRED,R2,12
PRED,R2,8
PRED,R2,4
PRED,R3,7
PRED,R3,12
PRED,R3,6
PRED,R3,7
PRED,R3,9
PRED,R3,15
PRED,R4,7
PRED,R4,10
PRED,R4,5
PRED,R4,4
PRED,R4,4
PRED,R4,3
PRED,R5,15
PRED,R5,7
PRED,R5,10
PRED,R5,5
PRED,R5,8
PRED,R5,12
PAR,R1,9
PAR,R1,13
PAR,R1,2
PAR,R1,8
PAR,R1,4
PAR,R1,4
PAR,R2,4
PAR,R2,3
PAR,R2,14
PAR,R2,5
PAR,R2,7
PAR,R2,2
PAR,R3,5
PAR,R3,7
PAR,R3,8
PAR,R3,4
PAR,R3,6
PAR,R3,1
PAR,R4,0
PAR,R4,4
PAR,R4,2
PAR,R4,3
PAR,R4,2
PAR,R4,3
PAR,R5,3
PAR,R5,8
PAR,R5,5
PAR,R5,0
PAR,R5,6
PAR,R5,0
DET,R1,2
DET,R1,1
DET,R1,2
DET,R1,5
DET,R1,3
DET,R1,2
DET,R2,1
DET,R2,3
DET,R2,2
DET,R2,0
DET,R2,0
DET,R2,0
DET,R3,3
DET,R3,2
DET,R3,2
DET,R3,3
DET,R3,0
DET,R3,1
DET,R4,1
DET,R4,1
DET,R4,0
DET,R4,2
DET,R4,1
DET,R4,0
DET,R5,2
DET,R5,1
DET,R5,0
DET,R5,1
DET,R5,1
DET,R5,0
POL,R1,1
POL,R1,3
POL,R1,0
POL,R1,0
POL,R1,0
POL,R1,0
POL,R2,1
POL,R2,1
POL,R2,1
POL,R2,0
POL,R2,1
POL,R2,1
POL,R3,1
POL,R3,1
POL,R3,1
POL,R3,2
POL,R3,0
POL,R3,0
POL,R4,0
POL,R4,0
POL,R4,0
POL,R4,0
POL,R4,0
POL,R4,0
POL,R5,0
POL,R5,0
POL,R5,1
POL,R5,1
POL,R5,0
POL,R5,0
ONIV,R1,0
ONIV,R1,0
ONIV,R1,0
ONIV,R1,0
ONIV,R1,0
ONIV,R1,1
ONIV,R2,0
ONIV,R2,0
ONIV,R2,0
ONIV,R2,0
ONIV,R2,0
ONIV,R2,0
ONIV,R3,0
ONIV,R3,1
ONIV,R3,1
ONIV,R3,0
ONIV,R3,0
ONIV,R3,0
ONIV,R4,0
ONIV,R4,1
ONIV,R4,0
ONIV,R4,0
ONIV,R4,0
ONIV,R4,0
ONIV,R5,0
ONIV,R5,0
ONIV,R5,0
ONIV,R5,0
ONIV,R5,0
ONIV,R5,0
