TRATAMENTOS,Frankliniella schultzei,Phlaeothripinae sp1,Craniothrips urichi,Adraneothrips alternatus,Stomatothrips sp,Preeriella sp,Enneothrips flavens,Heterothrips sp,Caliothrips phaseoli,Frankliniella insularis,Thripinae sp,Halmathrips sp,Holothrips sp,Frankliniella bicolor,Rhinoceps jansei,Arorathrips mexicanus,Frankliniella gardeniae,Franklinothrips vespiformis,Heliothrips zucchi,Karnyothrips melaleucus,Phlaeothripinae sp2
PAN,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PAN,6,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN,200,0,5,2,10,1,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0
PAN,348,0,4,4,26,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
PAN,282,0,4,21,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
PAN,344,0,17,17,5,8,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
PAN,184,10,18,21,6,15,6,0,2,0,0,1,1,0,0,0,0,0,0,0,0
PAN,327,4,13,25,6,3,25,2,0,8,4,2,0,0,0,0,1,0,0,0,0
PAN,29,0,2,21,18,7,3,2,0,0,1,2,3,0,0,0,0,0,0,0,0
PAN,31,1,4,24,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAN,8,5,27,2,15,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0
PAN,5,8,39,7,3,5,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
PAN,5,25,72,16,12,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
PAN,16,10,65,21,14,11,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
SUG,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,4,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,5,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SUG,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SUG,0,189,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUG,0,187,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
