POP,Tratamentos,REP,SOB_7D,SOB_PUPA,SOB_ AD
SS_Buc,Non_Bt,1,80,80,80
SS_Buc,Non_Bt,2,80,80,80
SS_Buc,Non_Bt,3,100,80,80
SS_Buc,Non_Bt,4,80,80,60
SS_Buc,Non_Bt,5,100,60,60
SS_Buc,Non_Bt,6,60,60,60
SS_Buc,Non_Bt,7,80,40,40
SS_Buc,Non_Bt,8,80,60,60
SS_Buc,Non_Bt,9,80,60,40
SS_Buc,Non_Bt,10,100,80,60
SS_Buc,Non_Bt,11,60,60,60
SS_Buc,Non_Bt,12,80,80,80
SS_Buc,Non_Bt,13,100,60,40
SS_Buc,Non_Bt,14,80,80,60
SS_Buc,Non_Bt,15,100,60,60
SS_Buc,Non_Bt,16,100,80,80
SS_Buc,Non_Bt,17,80,80,80
SS_Buc,Non_Bt,18,80,80,60
SS_Buc,Non_Bt,19,80,60,60
SS_Buc,Non_Bt,20,100,80,80
SS_Buc,Non_Bt,21,100,80,60
SS_Buc,Non_Bt,22,100,60,60
SS_Buc,Non_Bt,23,80,80,80
SS_Buc,Non_Bt,24,100,80,80
SS_Buc,Non_Bt,25,100,80,60
SS_Buc,Non_Bt,26,80,60,60
SS_Buc,Non_Bt,27,80,80,80
SS_Buc,Non_Bt,28,60,60,60
SS_Buc,Non_Bt,29,80,80,60
SS_Buc,Non_Bt,30,100,80,80
SS_Buc,Vip3Aa20+Cry1Ab,1,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,2,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,3,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,4,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,5,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,6,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,7,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,8,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,9,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,10,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,11,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,12,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,13,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,14,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,15,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,16,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,17,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,18,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,19,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,20,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,21,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,22,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,23,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,24,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,25,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,26,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,27,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,28,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,29,0,0,0
SS_Buc,Vip3Aa20+Cry1Ab,30,0,0,0
RR_Vip3Casa,Non_Bt,1,80,60,60
RR_Vip3Casa,Non_Bt,2,80,80,60
RR_Vip3Casa,Non_Bt,3,80,60,60
RR_Vip3Casa,Non_Bt,4,100,80,60
RR_Vip3Casa,Non_Bt,5,80,80,60
RR_Vip3Casa,Non_Bt,6,80,60,80
RR_Vip3Casa,Non_Bt,7,80,60,60
RR_Vip3Casa,Non_Bt,8,80,60,60
RR_Vip3Casa,Non_Bt,9,80,80,60
RR_Vip3Casa,Non_Bt,10,80,80,80
RR_Vip3Casa,Non_Bt,11,100,80,80
RR_Vip3Casa,Non_Bt,12,60,60,60
RR_Vip3Casa,Non_Bt,13,80,60,40
RR_Vip3Casa,Non_Bt,14,80,60,60
RR_Vip3Casa,Non_Bt,15,80,60,60
RR_Vip3Casa,Non_Bt,16,80,60,60
RR_Vip3Casa,Non_Bt,17,80,60,60
RR_Vip3Casa,Non_Bt,18,60,60,60
RR_Vip3Casa,Non_Bt,19,80,60,60
RR_Vip3Casa,Non_Bt,20,100,80,60
RR_Vip3Casa,Non_Bt,21,80,60,60
RR_Vip3Casa,Non_Bt,22,80,60,60
RR_Vip3Casa,Non_Bt,23,80,60,60
RR_Vip3Casa,Non_Bt,24,80,80,60
RR_Vip3Casa,Non_Bt,25,80,60,60
RR_Vip3Casa,Non_Bt,26,80,80,60
RR_Vip3Casa,Non_Bt,27,100,60,40
RR_Vip3Casa,Non_Bt,28,100,80,60
RR_Vip3Casa,Non_Bt,29,80,60,40
RR_Vip3Casa,Non_Bt,30,80,60,60
RR_Vip3Casa,Vip3Aa20+Cry1Ab,1,60,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,2,60,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,3,60,40,20
RR_Vip3Casa,Vip3Aa20+Cry1Ab,4,40,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,5,60,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,6,60,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,7,40,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,8,60,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,9,80,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,10,60,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,11,40,40,20
RR_Vip3Casa,Vip3Aa20+Cry1Ab,12,80,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,13,80,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,14,80,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,15,60,60,20
RR_Vip3Casa,Vip3Aa20+Cry1Ab,16,40,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,17,60,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,18,60,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,19,60,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,20,60,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,21,80,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,22,80,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,23,80,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,24,80,40,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,25,80,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,26,80,60,40
RR_Vip3Casa,Vip3Aa20+Cry1Ab,27,60,60,20
RR_Vip3Casa,Vip3Aa20+Cry1Ab,28,80,60,20
RR_Vip3Casa,Vip3Aa20+Cry1Ab,29,80,40,20
RR_Vip3Casa,Vip3Aa20+Cry1Ab,30,60,40,40
